cell_id,latitude,longitude,elevation,slope,aspect,curvature,land_cover,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm,susceptibility_prob,risk_tier,needs_refinement,rainfall_24h,rainfall_72h,rainfall_7d,rainfall_trigger_index,susceptibility_score,risk_score,risk_category,risk_mode,rainfall_status
COARSE_C00049,27.18,88.62800000000023,640.0,20.74036979675293,84.46109008789062,0.8708539605140686,30,292,371,337,117,0.9286,Very High,True,15.75,20.25,42.75,0.2261,0.9286,0.5741,High,dynamic_composite,available
COARSE_C00050,27.18,88.62900000000023,664.0,15.156864166259766,21.64165306091309,0.5278974175453186,10,291,370,338,117,0.5052,High,False,15.75,20.25,42.75,0.2261,0.5052,0.3433,Low,dynamic_composite,available
COARSE_C00051,27.18,88.63000000000024,674.0,17.615955352783203,49.28562545776367,-1.0292484760284424,10,291,370,338,117,0.5194,High,False,15.75,20.25,42.75,0.2261,0.5194,0.351,Moderate,dynamic_composite,available
COARSE_C00052,27.18,88.63100000000024,708.0,17.532367706298828,64.89909362792969,0.1055542305111885,30,293,371,336,117,0.9061,Very High,True,15.75,20.25,42.75,0.2261,0.9061,0.5619,High,dynamic_composite,available
COARSE_C00053,27.18,88.63200000000025,733.0,19.999557495117188,65.61589813232422,0.1846883296966552,10,293,371,336,117,0.5221,High,False,15.75,20.25,42.75,0.2261,0.5221,0.3525,Moderate,dynamic_composite,available
COARSE_C00054,27.18,88.63300000000025,782.0,24.07846069335937,95.2142105102539,-0.0264201220124959,10,291,368,342,117,0.545,High,False,15.75,20.25,42.75,0.2261,0.545,0.365,Moderate,dynamic_composite,available
COARSE_C00055,27.18,88.63400000000026,826.0,32.78142166137695,96.15419006347656,-0.8709802031517029,10,291,368,342,117,0.6031,High,True,15.75,20.25,42.75,0.2261,0.6031,0.3967,Moderate,dynamic_composite,available
COARSE_C00056,27.18,88.63500000000026,870.0,16.879865646362305,37.84834289550781,0.1055542305111885,10,291,368,342,117,0.4211,Moderate,False,15.75,20.25,42.75,0.2261,0.4211,0.2974,Low,dynamic_composite,available
COARSE_C00057,27.18,88.63600000000027,875.0,14.55771541595459,14.170411109924316,-0.5541912913322449,10,283,373,345,117,0.3835,Moderate,False,15.75,20.25,42.75,0.2261,0.3835,0.2769,Low,dynamic_composite,available
COARSE_C00058,27.18,88.63700000000027,883.0,12.62641429901123,41.986854553222656,-0.9236941933631896,10,283,373,345,115,0.4286,Moderate,False,15.75,20.25,42.75,0.2261,0.4286,0.3015,Low,dynamic_composite,available
COARSE_C00059,27.18,88.63800000000028,908.0,18.24724578857422,34.3819580078125,0.3959230482578277,50,287,375,337,115,0.9921,Very High,True,15.75,20.25,42.75,0.2261,0.9921,0.6088,High,dynamic_composite,available
COARSE_C00060,27.18,88.63900000000028,914.0,18.728071212768555,10.808097839355469,-0.2639487087726593,10,287,375,337,115,0.4687,Moderate,False,15.75,20.25,42.75,0.2261,0.4687,0.3234,Low,dynamic_composite,available
COARSE_C00061,27.18,88.64000000000028,931.0,16.848533630371094,40.14863586425781,-0.2375285774469375,10,287,375,338,115,0.4466,Moderate,False,15.75,20.25,42.75,0.2261,0.4466,0.3113,Low,dynamic_composite,available
COARSE_C00062,27.18,88.64100000000029,954.0,19.99830818176269,30.769062042236328,-0.0,10,287,375,338,115,0.4661,Moderate,False,15.75,20.25,42.75,0.2261,0.4661,0.322,Low,dynamic_composite,available
COARSE_C00063,27.18,88.6420000000003,972.0,21.78719520568848,40.358131408691406,0.2375285774469375,10,297,371,331,115,0.4816,Moderate,False,15.75,20.25,42.75,0.2261,0.4816,0.3304,Low,dynamic_composite,available
COARSE_C00064,27.18,88.6430000000003,989.0,14.592391967773438,41.515769958496094,0.3695029318332672,10,297,371,331,115,0.4033,Moderate,False,15.75,20.25,42.75,0.2261,0.4033,0.2877,Low,dynamic_composite,available
COARSE_C00065,27.18,88.6440000000003,1006.0,24.87211036682129,53.43820571899414,-0.3695029318332672,10,297,371,331,115,0.4933,Moderate,False,15.75,20.25,42.75,0.2261,0.4933,0.3368,Low,dynamic_composite,available
COARSE_C00066,27.18,88.64500000000031,1039.0,18.492172241210938,47.15582656860352,0.1055542305111885,10,283,373,344,115,0.4139,Moderate,False,15.75,20.25,42.75,0.2261,0.4139,0.2935,Low,dynamic_composite,available
COARSE_C00067,27.18,88.64600000000031,1064.0,20.585474014282227,39.85136795043945,-0.1055542305111885,10,283,373,344,114,0.453,Moderate,False,15.75,20.25,42.75,0.2261,0.453,0.3148,Low,dynamic_composite,available
COARSE_C00068,27.18,88.64700000000032,1092.0,27.75640106201172,50.17091369628906,-0.1319743543863296,10,280,375,344,114,0.5085,High,False,15.75,20.25,42.75,0.2261,0.5085,0.3451,Low,dynamic_composite,available
COARSE_C00069,27.18,88.64800000000032,1140.0,30.179122924804688,63.89828872680664,0.422216922044754,10,280,375,344,114,0.5135,High,True,15.75,20.25,42.75,0.2261,0.5135,0.3478,Low,dynamic_composite,available
COARSE_C00070,27.18,88.64900000000033,1175.0,25.21663475036621,54.096458435058594,-0.3959230482578277,10,280,375,344,113,0.4738,Moderate,False,15.75,20.25,42.75,0.2261,0.4738,0.3262,Low,dynamic_composite,available
COARSE_C00071,27.18,88.65000000000033,1216.0,19.89638328552246,51.06965637207031,0.5278974175453186,10,280,375,344,113,0.4059,Moderate,False,15.75,20.25,42.75,0.2261,0.4059,0.2891,Low,dynamic_composite,available
COARSE_C00072,27.18,88.65100000000034,1236.0,20.30608940124512,45.37961196899414,-0.1319743543863296,10,283,375,342,113,0.3959,Moderate,False,0.0,4.64,27.85,0.0627,0.3959,0.2217,Low,dynamic_composite,available
COARSE_C00073,27.18,88.65200000000034,1271.0,22.918346405029297,70.93828582763672,0.765425980091095,10,283,375,342,109,0.5479,High,False,0.0,4.64,27.85,0.0627,0.5479,0.2996,Low,dynamic_composite,available
COARSE_C00074,27.18,88.65300000000035,1299.0,20.386016845703125,48.19308853149414,-0.3430828154087066,10,283,375,342,109,0.4985,Moderate,False,0.0,4.64,27.85,0.0627,0.4985,0.2743,Low,dynamic_composite,available
COARSE_C00075,27.18,88.65400000000035,1316.0,10.58159065246582,-0.0,0.6334516406059265,30,283,375,343,109,0.8573,Very High,True,0.0,4.64,27.85,0.0627,0.8573,0.4582,Moderate,dynamic_composite,available
COARSE_C00076,27.18,88.65500000000036,1322.0,19.407203674316406,22.748931884765625,0.8181399703025818,10,283,375,343,107,0.5487,High,False,0.0,4.64,27.85,0.0627,0.5487,0.3,Low,dynamic_composite,available
COARSE_C00077,27.18,88.65600000000036,1328.0,23.801422119140625,343.2458190917969,0.8709802031517029,10,281,376,343,107,0.6328,High,False,0.0,4.64,27.85,0.0627,0.6328,0.3431,Low,dynamic_composite,available
COARSE_C00078,27.18,88.65700000000037,1308.0,27.84775161743164,336.1723327636719,-1.2667770385742188,10,281,376,343,107,0.6663,High,False,0.0,4.64,27.85,0.0627,0.6663,0.3603,Moderate,dynamic_composite,available
COARSE_C00079,27.18,88.65800000000037,1307.0,26.360355377197266,1.0501494407653809,0.8181399703025818,10,282,376,342,107,0.6186,High,False,0.0,4.64,27.85,0.0627,0.6186,0.3359,Low,dynamic_composite,available
