fine_cell_id,parent_cell_id,parent_latitude,parent_longitude,parent_susceptibility,latitude,longitude,elevation,slope,aspect,curvature,land_cover,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm,fine_susceptibility,risk_delta,micro_risk_tier
FINE_C14203_047,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71215,1002.0,48.07,64.97,-7.1002,10,249,378,373,110,0.8033,0.0655,Extreme
FINE_C14203_048,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71225,1002.0,48.07,64.97,-7.1002,10,249,378,373,110,0.8033,0.0655,Extreme
FINE_C14203_049,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71235,1002.0,48.07,64.97,-7.1002,10,249,378,373,110,0.8033,0.0655,Extreme
FINE_C14203_050,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.24995,88.71245,1035.0,39.9,65.92,-1.6075,10,249,378,373,110,0.7586,0.0208,Very High
FINE_C14203_051,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71155,973.0,13.42,72.16,-0.8984,10,277,368,354,112,0.5018,-0.236,High
FINE_C14203_052,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71165,973.0,13.42,72.16,-0.8984,10,277,368,354,112,0.5018,-0.236,High
FINE_C14203_053,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71175,973.0,13.42,72.16,-0.8984,10,277,368,354,112,0.5018,-0.236,High
FINE_C14203_054,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71185,978.0,40.37,66.05,-6.205,10,277,368,354,112,0.7196,-0.0182,Very High
FINE_C14203_055,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71195,978.0,40.37,66.05,-6.205,10,249,378,373,111,0.7378,0.0,Very High
FINE_C14203_056,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71205,978.0,40.37,66.05,-6.205,10,249,378,373,111,0.7378,0.0,Very High
FINE_C14203_057,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71215,1002.0,48.07,64.97,-7.1002,10,249,378,373,111,0.7809,0.0431,Very High
FINE_C14203_058,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71225,1002.0,48.07,64.97,-7.1002,10,249,378,373,110,0.8033,0.0655,Extreme
FINE_C14203_059,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71235,1002.0,48.07,64.97,-7.1002,10,249,378,373,110,0.8033,0.0655,Extreme
FINE_C14203_060,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25005,88.71245,1035.0,39.9,65.92,-1.6075,10,249,378,373,110,0.7586,0.0208,Very High
FINE_C14203_061,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71155,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_062,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71165,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_063,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71175,971.0,22.51,68.74,-6.4999,10,277,368,354,112,0.5593,-0.1785,High
FINE_C14203_064,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71185,1008.0,49.73,73.41,3.5614,10,277,368,354,112,0.8164,0.0786,Extreme
FINE_C14203_065,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71195,1008.0,49.73,73.41,3.5614,10,249,378,373,111,0.8299,0.0921,Extreme
FINE_C14203_066,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71205,1008.0,49.73,73.41,3.5614,10,249,378,373,111,0.8299,0.0921,Extreme
FINE_C14203_067,COARSE_C14203,27.250000000000085,88.71200000000063,0.7378,27.25015,88.71215,1050.0,47.65,62.92,11.0112,10,249,378,373,111,0.8302,0.0924,Extreme
