sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm
26136,SKM/SS/78A08/2015/307,Sikkim,South Sikkim,,Melli-Phong Road,27.15425,88.500333,Debris,Slide,,257,347,396,112
26137,SKM/WS/78A08/2015/379,Sikkim,West Sikkim,,,27.1545,88.275667,Debris,Slide,,252,351,397,118
26138,SKM/SS/78A08/2015/310,Sikkim,South Sikkim,,Melli-Phong Road,27.154722,88.443056,Debris,Slide,,268,370,362,113
26139,SKM/SS/78A08/2015/176,Sikkim,South Sikkim,,Namchi-Namthang Road,27.154889,88.493194,Debris,Slide,,240,362,398,115
26140,SKM/WS/78A08/2015/269,Sikkim,West Sikkim,,Namchi-Assangthang Road,27.155028,88.319556,Rock,Slide,,271,377,351,114
26141,SKM/SS/78A08/2015/233,Sikkim,South Sikkim,,Namchi-Palum Road,27.155306,88.390278,Debris,Slide,,287,348,365,104
26142,SKM/SS/78A08/2015/279,Sikkim,South Sikkim,,Namchi-Namthang Road,27.15625,88.430722,Debris,Slide,,275,386,339,109
26143,SKM/ES/78A12/2015/162,Sikkim,East Sikkim,,Namchi-Namthang Road,27.156806,88.5225,Rock,Fall,,260,349,391,114
26144,SKM/NS/78A04/2017/98,Sikkim,West Sikkim,,SH,27.156944,88.230778,Debris,Slide,,234,347,419,106
26145,SKM/ES/78A2/2015/167,Sikkim,East Sikkim,,Namchi-Namthang Road,27.157056,88.512778,Debris,Slide,,257,355,388,115
26146,SKM/NS/78A04/2017/113,Sikkim,West Sikkim,,SH,27.157361,88.171667,Debris,Slide,,273,367,360,107
26147,SKM/WS/78A08/2015/293,Sikkim,West Sikkim,,Namchi-Jorthang Road,27.157694,88.306806,Debris,Slide,,273,369,358,108
26148,SKM/ES/78A12/2015/163,Sikkim,East Sikkim,,Namchi-Namthang Road,27.157694,88.522194,Rock,Topple,,260,349,391,114
26149,SKM/NS/78A04/2017/119,Sikkim,West Sikkim,,SH,27.157694,88.092833,Debris,Slide,,311,333,356,97
26150,SKM/NS/78A04/2017/97,Sikkim,West Sikkim,,SH,27.157806,88.230306,Debris,Slide,,258,377,365,101
26151,SKM/NS/78A04/2017/116,Sikkim,West Sikkim,,SH,27.157861,88.090194,Earth,Slide,,314,337,348,97
26152,SKM/SS/78A08/2015/273,Sikkim,South Sikkim,,Namchi-Namthang Road,27.158,88.347972,Debris,Slide,,262,354,384,107
26153,SKM/NS/78A04/2017/140,Sikkim,West Sikkim,,SH,27.158056,88.141528,Debris,Slide,,244,433,323,99
26154,SKM/SS/78A08/2015/177,Sikkim,South Sikkim,,Namchi-Namthang Road,27.158111,88.491722,Debris,Slide,,248,383,369,111
26155,SKM/ES/78A2/2015/168,Sikkim,East Sikkim,,Namchi-Namthang Road,27.158111,88.512472,Debris,Slide,,251,366,383,117
26156,SKM/WS/78A08/2015/271,Sikkim,West Sikkim,,Namchi-Assangthang Road,27.158139,88.344806,Debris,Slide,,273,364,363,108
26157,SKM/WS/78A08/2015/270,Sikkim,West Sikkim,,Namchi-Assangthang Road,27.158222,88.34325,Debris,Slide,,276,361,363,108
26158,SKM/NS/78A04/2017/134,Sikkim,West Sikkim,,SH,27.158222,88.100361,Debris,Slide,,282,376,341,94
26159,SKM/ES/78A12/2015/164,Sikkim,East Sikkim,,Namchi-Namthang Road,27.158361,88.521833,Debris,Slide,,273,341,386,110
26160,SKM/SS/78A08/2015/276,Sikkim,South Sikkim,,Namchi-Namthang Road,27.158417,88.420139,Debris,Slide,,274,342,384,107
26161,SKM/SS/78A08/2015/303,Sikkim,South Sikkim,,Namthang-Kabrey Road,27.158583,88.466306,Rock,Fall,,262,377,361,110
26162,SKM/SS/78A08/2015/278,Sikkim,South Sikkim,,Namchi-Namthang Road,27.158944,88.427111,Debris,Slide,,266,351,383,107
26163,SKM/ES/78A2/2015/169,Sikkim,East Sikkim,,Namchi-Namthang Road,27.158972,88.514611,Rock,Fall,,255,355,390,113
26164,SKM/NS/78A04/2017/117,Sikkim,West Sikkim,,SH,27.158972,88.090944,Debris,Slide,,314,336,350,102
26165,SKM/SS/78A08/2015/309,Sikkim,South Sikkim,,Melli-Phong Road,27.159194,88.444361,Debris,Slide,,280,389,331,103
26166,SKM/NS/78A04/2017/118,Sikkim,West Sikkim,,SH,27.159361,88.09225,Earth,Slide,,314,336,350,102
26167,SKM/WS/78A08/2015/294,Sikkim,West Sikkim,,Namchi-Jorthang Road,27.159472,88.300028,Debris,Slide,,269,367,364,109
26168,SKM/WS/78A08/2015/268,Sikkim,West Sikkim,,Namchi-Assangthang Road,27.159639,88.318889,Debris,Subsidence,,285,365,350,106
26169,SKM/SS/78A08/2015/234,Sikkim,South Sikkim,,Namchi-Palum Road,27.159972,88.379083,Rock,Slide,,258,373,369,117
26170,SKM/SS/78A08/2015/277,Sikkim,South Sikkim,,Namchi-Namthang Road,27.160056,88.423028,Debris,Slide,,282,362,356,108
26171,SKM/NS/78A04/2017/132,Sikkim,West Sikkim,,SH,27.160056,88.091806,Debris,Slide,,314,336,350,102
26172,SKM/SS/78A08/2015/272,Sikkim,South Sikkim,,Namchi-Namthang Road,27.160194,88.415056,Debris,Slide,,288,356,356,103
26173,SKM/SS/78A12/2015/170,Sikkim,South Sikkim,,Namchi-Namthang Road,27.160444,88.512472,Rock,Fall,,268,359,373,116
26174,SKM/SS/78A12/2015/174,Sikkim,South Sikkim,,Namchi-Namthang Road,27.160722,88.505889,Debris,Slide,,255,397,348,112
26175,SKM/NS/78A04/2017/133,Sikkim,West Sikkim,,SH,27.161,88.094306,Debris,Slide,,313,339,349,101
26176,SKM/SS/78A12/2015/171,Sikkim,South Sikkim,,Namchi-Namthang Road,27.161306,88.512944,Debris,Slide,,268,359,373,116
26177,SKM/SS/78A08/2015/274,Sikkim,South Sikkim,,Namchi-Namthang Road,27.161444,88.410556,Debris,Slide,,295,360,345,101
26178,SKM/SS/78A12/2015/173,Sikkim,South Sikkim,,Namchi-Namthang Road,27.161917,88.509639,Debris,Slide,,266,374,360,116
26179,SKM/SS/78A08/2015/181,Sikkim,South Sikkim,,Namchi-Namthang Road,27.162111,88.491444,Rock,Fall,,248,392,360,108
26180,SKM/SS/78A12/2015/172,Sikkim,South Sikkim,,Namchi-Namthang Road,27.162194,88.510611,Debris,Slide,,266,374,360,116
26181,SKM/SS/78A08/2015/212,Sikkim,South Sikkim,,Namchi-Namthang Road,27.16275,88.383306,Earth,Slide,,268,359,373,106
26182,SKM/SS/78A08/2015/275,Sikkim,South Sikkim,,Namchi-Namthang Road,27.162778,88.413222,Rock,Slide,,289,368,344,102
26183,SKM/SS/78A08/2015/179,Sikkim,South Sikkim,,Namchi-Namthang Road,27.162781,88.484864,Debris,Slide,,245,394,361,111
26184,SKM/NS/78A04/2017/142,Sikkim,West Sikkim,,SH,27.163472,88.143083,Debris,Slide,,245,429,326,98
26185,SKM/SS/78A08/2015/282,Sikkim,South Sikkim,,Namchi-Namthang Road,27.163556,88.458833,Debris,Slide,,259,393,348,107
26186,SKM/SS/78A08/2015/214,Sikkim,South Sikkim,,Namchi-Namthang Road,27.16375,88.406417,Rock,Slide,,305,351,344,101
26187,SKM/SS/78A08/2015/281,Sikkim,South Sikkim,,Namchi-Namthang Road,27.163861,88.462306,Debris,Slide,,261,396,344,107
26188,SKM/ES/78A12/2015/165,Sikkim,East Sikkim,,Namchi-Namthang Road,27.163861,88.52,Debris,Slide,,294,338,368,114
26189,SKM/NS/78A04/2017/141,Sikkim,West Sikkim,,SH,27.163861,88.141361,Debris,Slide,,298,360,342,94
26190,SKM/NS/78A04/2017/100,Sikkim,West Sikkim,Malbasley,SH,27.164472,88.213889,Rock,Slide,,231,376,393,111
26191,SKM/NS/78A04/2017/96,Sikkim,West Sikkim,,SH,27.1645,88.228444,Rock,Slide,,259,397,344,106
26192,SKM/SS/78A08/2015/396,Sikkim,South Sikkim,,Sikkip-Wak-Namchi Road,27.164528,88.348472,Debris,Slide,,270,344,385,109
26193,SKM/SS/78A08/2015/308,Sikkim,South Sikkim,,Melli-Phong Road,27.165,88.444444,Debris,Slide,,266,382,352,107
26194,SKM/SS/78A08/2015/395,Sikkim,South Sikkim,,Sikkip-Wak-Namchi Road,27.165278,88.348528,Debris,Slide,,262,368,371,108
26195,SKM/NS/78A04/2017/112,Sikkim,West Sikkim,,SH,27.165333,88.162028,Debris,Slide,,231,372,397,108
26196,SKM/SS/78A08/2015/180,Sikkim,South Sikkim,,Namchi-Namthang Road,27.165528,88.496556,Debris,Slide,,283,367,350,105
26197,SKM/SS/78A08/2015/178,Sikkim,South Sikkim,,Namchi-Namthang Road,27.165586,88.488511,Debris,Slide,,263,384,353,112
26198,SKM/SS/78A08/2015/183,Sikkim,South Sikkim,,Namchi-Namthang Road,27.165833,88.436667,Debris,Slide,,276,379,345,104
26199,SKM/NS/78A04/2017/143,Sikkim,West Sikkim,,SH,27.166278,88.144333,Debris,Slide,,244,391,365,103
26200,SKM/SS/78A08/2015/213,Sikkim,South Sikkim,,Namchi-Namthang Road,27.166528,88.401333,Debris,Slide,,272,367,361,104
26201,SKM/SS/78A08/2015/304,Sikkim,South Sikkim,,Perbing-Chuba Road,27.166611,88.417528,Debris,Slide,,296,363,341,103
26202,SKM/SS/78A08/2015/394,Sikkim,South Sikkim,,Sikkip-Wak-Namchi Road,27.167611,88.348889,Debris,Slide,,266,358,376,107
26203,SKM/NS/78A04/2017/99,Sikkim,West Sikkim,,SH,27.167972,88.224778,Rock,Slide,,248,379,373,108
26204,SKM/SS/78A08/2015/211,Sikkim,South Sikkim,,Namchi-Namthang Road,27.168167,88.384556,Debris,Slide,,270,344,386,106
26205,SKM/SS/78A08/2015/302,Sikkim,South Sikkim,,,27.169028,88.486333,Debris,Slide,,254,381,365,111
26206,SKM/SS/78A08/2015/198,Sikkim,South Sikkim,,Namchi-Damthang Road,27.169472,88.363778,Debris,Slide,,274,370,355,109
26207,SKM/SS/78A08/2015/280,Sikkim,South Sikkim,,Namchi-Namthang Road,27.169583,88.462361,Debris,Slide,,278,383,340,110
26208,SKM/NS/78A04/2017/135,Sikkim,West Sikkim,Bhoreng,SH,27.170833,88.086361,Earth,Slide,,304,348,348,102
26209,SKM/NS/78A04/2017/95,Sikkim,West Sikkim,,SH,27.171083,88.245417,Debris,Slide,,240,350,410,116
26210,SKM/SS/78A08/2015/393,Sikkim,South Sikkim,,Sikkip-Wak-Namchi Road,27.171139,88.354611,Debris,Slide,,265,364,371,110
26211,SKM/NS/78A04/2017/110,Sikkim,West Sikkim,,SH,27.171639,88.159333,Debris,Slide,,248,370,382,104
26212,SKM/NS/78A04/2017/111,Sikkim,West Sikkim,,SH,27.171833,88.160861,Debris,Slide,,244,365,391,105
26213,SKM/NS/78A04/2017/137,Sikkim,West Sikkim,,SH,27.172083,88.090333,Earth,Slide,,300,350,350,104
26214,SKM/SOUTH/78A08/2017/001,Sikkim,South Sikkim,"Gumpa Monastery, Upper Gurpisey","State Highway (Namchi- Damthang Road, South Sikkim)",27.172228,88.372,Debris,Complex,2017,273,350,377,110
26215,SKM/SS/78A08/2015/210,Sikkim,South Sikkim,,Namchi-Namthang Road,27.172333,88.381444,Debris,Slide,,275,347,379,109
26216,SKM/SS/78A08/2015/297,Sikkim,South Sikkim,,Namchi-Jorthang Road,27.172444,88.386972,Rock,Slide,,276,362,362,105
26217,SKM/NS/78A04/2017/136,Sikkim,West Sikkim,Ribdi,SH,27.172444,88.089528,Earth,Slide,,300,350,350,104
26218,SKM/NS/78A04/2017/138,Sikkim,West Sikkim,,SH,27.173861,88.092111,Earth,Slide,,300,341,358,102
26219,SKM/SS/78A08/2015/296,Sikkim,South Sikkim,,Namchi-Jorthang Road,27.173917,88.38525,Rock,Slide,,285,353,362,109
26220,SKM/SS/78A08/2015/182,Sikkim,South Sikkim,,Namchi-Namthang Road,27.174389,88.452028,Debris,Slide,,285,383,331,102
26221,SKM/SS/78A08/2015/295,Sikkim,South Sikkim,,Namchi-Jorthang Road,27.175,88.385028,Rock,Slide,,252,383,365,103
26222,SKM/SS/78A08/2015/300,Sikkim,South Sikkim,,Namchi-Jorthang Road,27.175778,88.402417,Debris,Slide,,253,354,393,101
26223,SKM/SS/78A08/2015/305,Sikkim,South Sikkim,,Perbing-Chuba Road,27.176,88.429556,Debris,Slide,,284,379,338,99
26224,SKM/SS/78A08/2015/299,Sikkim,South Sikkim,,Namchi-Jorthang Road,27.176944,88.402056,Debris,Slide,,269,402,328,103
26225,SKM/SS/78A08/2015/301,Sikkim,South Sikkim,,Namchi-Jorthang Road,27.177056,88.402611,Rock,Slide,,254,371,375,101
26226,SKM/SS/78A08/2015/263,Sikkim,South Sikkim,,,27.177167,88.369611,Rock,Slide,,265,364,371,106
26227,SKM/SS/78A08/2015/306,Sikkim,South Sikkim,,Perbing-Chuba Road,27.178111,88.430556,Debris,Slide,,264,374,362,99
26228,SKM/ES/78A12/2015/101,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.178889,88.533097,Rock,Slide,,262,370,368,120
26229,SKM/NS/78A04/2017/106,Sikkim,West Sikkim,,SH,27.179278,88.190972,Earth,Slide,,271,392,337,102
26230,SKM/ES/78A12/2015/141,Sikkim,East Sikkim,,NH-31A,27.179639,88.519778,Debris,Slide,,260,374,366,120
26231,SKM/ES/78A12/2015/143,Sikkim,East Sikkim,,NH-31A,27.180417,88.51025,Rock,Slide,,262,364,374,120
26232,SKM/ES/78A12/2015/142,Sikkim,East Sikkim,,NH-31A,27.180528,88.518611,Debris,Slide,,256,367,377,119
26233,SKM/NS/78A04/2017/105,Sikkim,West Sikkim,Gumpa Dara,SH,27.181167,88.192028,Debris,Slide,,271,392,337,102
26234,SKM/WS/78A08/2015/378,Sikkim,West Sikkim,,,27.181222,88.309528,Debris,Slide,,269,360,370,121
26235,SKM/SS/78A08/2015/298,Sikkim,South Sikkim,,Namchi-Jorthang Road,27.18175,88.395778,Debris,Slide,,277,417,306,104
26236,SKM/ES/78A12/2015/144,Sikkim,East Sikkim,,NH-31A,27.182111,88.508,Rock,Slide,,257,366,377,120
26237,SKM/NS/78A03/2017/82,Sikkim,West Sikkim,Barakheley Dara,SH,27.185944,88.197944,Debris,Slide,,253,410,337,101
26238,SKM/NS/78A03/2017/83,Sikkim,West Sikkim,,SH,27.185972,88.205833,Earth,Slide,,245,393,362,101
26239,SKM/WS/78A08/2015/351,Sikkim,West Sikkim,,legship-Sikkip Road,27.186361,88.320417,Debris,Slide,,274,362,364,123
26240,SKM/NS/78A03/2017/84,Sikkim,West Sikkim,,SH,27.186611,88.206278,Earth,Slide,,264,400,336,98
26241,SKM/ES/78A12/2015/102,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.18815,88.562083,Debris,Slide,,263,383,355,118
26242,SKM/ES/78A12/2015/145,Sikkim,East Sikkim,,NH-31A,27.188528,88.501194,Rock,Slide,,257,368,376,119
26243,SKM/SS/78A08/2015/197,Sikkim,South Sikkim,,Namchi-Damthang Road,27.189222,88.391056,Debris,Slide,,255,367,377,101
26244,SKM/ES/78A12/2015/103,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.189261,88.595686,Debris,Slide,,291,371,338,117
26245,SKM/ES/78A12/2015/39,Sikkim,East Sikkim,Padamchey,Rangpo-Rorathang Road,27.19,88.564472,Rock,Fall,,270,364,366,115
26246,SKM/ES/78A12/2015/104,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.190067,88.596483,Rock,Slide,,291,371,338,117
26247,SKM/ES/78A12/2015/105,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.190833,88.596889,Debris,Slide,,289,372,339,120
26248,SKM/WS/78A08/2015/350,Sikkim,West Sikkim,,legship-Sikkip Road,27.191639,88.325861,Debris,Slide,,274,351,376,122
26249,SKM/WS/78A08/2015/374,Sikkim,West Sikkim,,Sangadorji-Bum Road,27.191917,88.2885,Debris,Slide,,271,357,372,108
26250,SKM/ES/78A12/2015/106,Sikkim,East Sikkim,,Rangpo-Rorathang Road,27.192989,88.603083,Debris,Slide,,300,367,334,117
26251,SKM/ES/78A12/2015/135,Sikkim,East Sikkim,,Rhenak Road,27.193794,88.650528,Debris,Slide,,268,369,363,107
26252,SKM/SS/78A08/2015/206,Sikkim,South Sikkim,,Kholaghari village Road,27.194333,88.388889,Debris,Slide,,283,331,386,99
26253,SKM/ES/78A12/2015/108,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.195083,88.631992,Debris,Slide,,300,368,332,116
26254,SKM/ES/78A12/2015/109,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.195511,88.6342,Debris,Slide,,296,369,334,117
26255,SKM/ES/78A12/2015/107,Sikkim,East Sikkim,,Rorathang-Rongli Road,27.195703,88.625444,Debris,Slide,,296,372,332,117
26256,SKM/SS/78A08/2015/207,Sikkim,South Sikkim,,Kholaghari village Road,27.195722,88.387472,Debris,Slide,,283,331,386,99
26257,SKM/NS/78A03/2017/81,Sikkim,West Sikkim,Phuchenbong,SH,27.197111,88.208722,Debris,Slide,,243,409,348,98
26258,SKM/SS/78A12/2015/146,Sikkim,South Sikkim,,NH-31A,27.197417,88.4905,Rock,Slide,,247,375,378,115
