sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,soil_clay_0_5cm,soil_sand_0_5cm,soil_silt_0_5cm,soil_bulk_density_0_5cm
26460,SKM/NS/78A03/2017/22,Sikkim,West Sikkim,Sardong,SH,27.281444,88.187833,Debris,Slide,,274,380,346,103
26461,SKM/NS/78A03/2017/29,Sikkim,West Sikkim,Arigown,SH,27.281611,88.229556,Debris,Slide,,241,355,404,116
26462,SKM/SS/78A07/2015/334,Sikkim,South Sikkim,,Robang-Tarku Road,27.282,88.415028,Debris,Slide,,254,338,408,105
26463,SKM/ES/78A11/2015/97,Sikkim,East Sikkim,,,27.282444,88.598917,Debris,Slide,,274,372,355,119
26464,SKM/NS/78A03/2017/09,Sikkim,West Sikkim,Sarkitar,SH,27.282667,88.108278,Debris,Slide,,222,385,393,104
26465,SKM/NS/78A03/2017/21,Sikkim,West Sikkim,Sardong,SH,27.282917,88.189556,Debris,Slide,,281,392,327,105
26466,SKM/NS/78A03/2017/08,Sikkim,West Sikkim,,SH,27.283194,88.106667,Debris,Slide,,222,385,393,104
26467,SKM/NS/78A03/2017/25,Sikkim,West Sikkim,,SH,27.283444,88.192639,Debris,Slide,,268,404,328,106
26468,SKM/NS/78A03/2017/20,Sikkim,West Sikkim,Sardong,SH,27.283639,88.189944,Debris,Slide,,281,392,327,105
26469,SK/EAS/78A11/2014/01,Sikkim,East Sikkim,Dhankutey dhara Slide,3km away from Rumtek on Rumtek - Martam road.,27.28408,88.54611,Earth,Slide,28 August 2013,278,358,364,101
26470,SKM/WS/78A07/2015/359,Sikkim,West Sikkim,,Legship-Geyzing Road,27.284139,88.264889,Debris,Slide,,253,357,389,115
26471,SKM/SS/78A07/2015/291,Sikkim,South Sikkim,,Gangla village Road,27.28425,88.370056,Debris,Slide,,288,369,343,99
26472,SKM/NS/78A03/2017/24,Sikkim,West Sikkim,,SH,27.284528,88.195583,Debris,Slide,,288,378,333,103
26473,SKM/NS/78A03/2017/10,Sikkim,West Sikkim,,SH,27.28475,88.106194,Rock,Fall,,229,387,385,105
26474,SKM/NS/78A03/2017/27,Sikkim,West Sikkim,Sardong,SH,27.285,88.197583,Debris,Slide,,292,375,333,103
26475,SKM/SS/78A07/2015/292,Sikkim,South Sikkim,,Gangla village Road,27.287194,88.369444,Debris,Slide,,289,366,345,100
26476,SKM/NS/78A03/2017/11,Sikkim,West Sikkim,,SH,27.287361,88.102611,Debris,Slide,,279,407,315,102
26477,SKM/NS/78A03/2017/13,Sikkim,West Sikkim,,SH,27.288167,88.102778,Rock,Fall,,279,407,315,102
26478,SKM/NS/78A03/2017/12,Sikkim,West Sikkim,,SH,27.288444,88.102667,Rock,Fall,,279,407,315,102
26479,SKM/NS/78A15/2017/158,Sikkim,East Sikkim,,SH,27.288667,88.816111,Debris,Slide,,265,383,352,113
26480,SKM/NS/78A03/2017/06,Sikkim,West Sikkim,,SH,27.289861,88.084389,Debris,Slide,,281,367,352,96
26481,SKM/NS/78A15/2017/157,Sikkim,East Sikkim,Nathang Valley,SH,27.292583,88.820417,Debris,Slide,,252,405,343,107
26482,SKM/ES/78A11/2015/159,Sikkim,East Sikkim,,NH-31A,27.292944,88.589417,Debris,Slide,,277,359,364,117
26483,SKM/WS/78A07/2015/380,Sikkim,West Sikkim,,,27.293417,88.294917,Debris,Slide,,270,365,365,109
26484,SKM/ES/78A11/2015/98,Sikkim,East Sikkim,,Namok Road,27.293556,88.642056,Debris,Slide,,280,351,370,102
26485,SKM/NS/78A03/2017/07,Sikkim,West Sikkim,Kumuk,SH,27.294889,88.079944,Debris,Slide,,241,450,309,101
26486,SKM/NS/78A03/2017/14,Sikkim,West Sikkim,,SH,27.29525,88.102694,Debris,Slide,,240,420,340,102
26487,SKM/NS/78A03/2017/16,Sikkim,West Sikkim,,SH,27.295444,88.094583,Debris,Slide,,244,408,348,102
26488,SKM/NS/78A03/2017/15,Sikkim,West Sikkim,,SH,27.296028,88.10175,Debris,Slide,,240,420,340,102
26489,SKM/SS/78A07/2015/335,Sikkim,South Sikkim,,Robang-Tarku Road,27.297139,88.388472,Debris,Slide,,264,351,385,100
26490,SKM/SS/78A07/2015/338,Sikkim,South Sikkim,,Lingmo village Road,27.29975,88.419778,Debris,Slide,,266,366,368,105
26491,SKM/NS/78A03/2017/46,Sikkim,West Sikkim,Singdong,SH,27.301972,88.218778,Debris,Slide,,294,328,379,101
26492,SKM/SS/78A07/2015/284,Sikkim,South Sikkim,,Sangmo village Road,27.302861,88.373944,Debris,Slide,,309,362,329,99
26493,SKM/SS/78A07/2015/333,Sikkim,South Sikkim,,Robang-Tarku Road,27.303083,88.433167,Debris,Slide,,255,370,376,116
26494,SKM/NS/78A03/2017/107,Sikkim,West Sikkim,,SH,27.304028,88.178806,Debris,Slide,,268,387,345,101
26495,SKM/NS/78A03/2017/47,Sikkim,West Sikkim,Singdong,SH,27.30675,88.199083,Rock,Slide,,273,383,344,100
26496,SKM/SS/78A07/2015/336,Sikkim,South Sikkim,,Robang-Tarku Road,27.306806,88.375194,Debris,Slide,,278,388,334,101
26497,SKM/SS/78A07/2015/283,Sikkim,South Sikkim,,Sangmo village Road,27.306861,88.368444,Debris,Slide,,278,387,335,102
26498,SKM/SS/78A07/2015/337,Sikkim,South Sikkim,,Lingmo village Road,27.311667,88.418611,Debris,Subsidence,,247,378,374,107
26499,SKM/NS/78A03/2017/48,Sikkim,West Sikkim,Rimbi,SH,27.313722,88.189917,Rock,Slide,,237,377,386,110
26500,SKM/ES/78A11/2015/42,Sikkim,East Sikkim,,Lingdum Road,27.313917,88.557583,Debris,Slide,,263,366,371,102
26501,SKM/NS/78A15/2017/156,Sikkim,East Sikkim,Purana Baba Mandir,SH,27.3145,88.8365,Debris,Slide,,180,497,323,100
26502,SKM/SS/78A07/2015/340,Sikkim,South Sikkim,,Lingmo village Road,27.314694,88.417917,Debris,Subsidence,,252,364,384,110
26503,SKM/ES/78A11/2015/41,Sikkim,East Sikkim,,Lingdum Road,27.315028,88.558139,Rock,Fall,,263,366,371,102
26504,SKM/ES/78A11/2015/43,Sikkim,East Sikkim,,Lingdum Road,27.315028,88.558611,Debris,Slide,,271,363,366,103
26505,SKM/ES/78A11/2015/47,Sikkim,East Sikkim,Khamdong,,27.315083,88.506056,Debris,Slide,,274,324,402,100
26506,SKM/NS/78A03/2017/62,Sikkim,West Sikkim,,SH,27.315778,88.178944,Debris,Slide,,239,374,386,104
26507,SKM/ES/78A11/2015/44,Sikkim,East Sikkim,Sangmoo,Lingdum Road,27.316,88.559889,Rock,Slide,,267,361,372,109
26508,SKM/NS/78A03/2017/63,Sikkim,West Sikkim,,SH,27.316583,88.178917,Debris,Slide,,239,374,386,104
26509,SKM/ES/78A11/2015/45,Sikkim,East Sikkim,Lingdum,Lingdum Road,27.316944,88.560056,Rock,Fall,,267,361,372,109
26510,SKM/NS/78A03/2017/64,Sikkim,West Sikkim,,SH,27.317083,88.178556,Debris,Slide,,239,374,386,104
26511,SKM/NS/78A03/2017/61,Sikkim,West Sikkim,,SH,27.317417,88.182861,Debris,Slide,,238,360,402,109
26512,SK/WES/78A03/2014/02,Sikkim,West Sikkim,Tamabung slide,Tamabung (On Dharap-Nambu road),27.31892,88.16222,Debris,Flow,1 September 2013 at 21:30 hrs.,238,431,331,105
26513,SKM/NS/78A03/2017/65,Sikkim,West Sikkim,,SH,27.320111,88.177833,Debris,Slide,,259,415,327,104
26514,SKM/NS/78A03/2017/49,Sikkim,West Sikkim,Lower Melli,SH,27.320611,88.219611,Debris,Slide,,244,348,408,114
26515,SKM/NS/78A03/2017/59,Sikkim,West Sikkim,,SH,27.324944,88.213861,Debris,Slide,,238,351,411,102
26516,SKM/NS/78A03/2017/52,Sikkim,West Sikkim,,SH,27.326444,88.219,Rock,Slide,,233,350,417,107
26517,SKM/ES/78A11/2015/100,Sikkim,East Sikkim,,Namok Road,27.329361,88.649278,Debris,Slide,,258,361,381,100
26518,SKM/ES/78A11/2015/99,Sikkim,East Sikkim,,Namok Road,27.329472,88.648917,Debris,Slide,,258,361,381,100
26519,SKM/NS/78A03/2017/58,Sikkim,West Sikkim,,SH,27.3305,88.215639,Debris,Slide,,254,368,379,99
26520,SKM/NS/78A03/2017/57,Sikkim,West Sikkim,,SH,27.33075,88.216333,Debris,Slide,,254,368,379,99
26521,SKM/ES/78A07/2015/48,Sikkim,East Sikkim,Makha,Singtam-Dikchu Road,27.330778,88.49225,Debris,Slide,,277,351,372,105
26522,SKM/SS/78A07/2015/339,Sikkim,South Sikkim,,Lingmo village Road,27.330917,88.450528,Debris,Slide,,264,355,381,114
26523,SKM/NS/78A03/2017/56,Sikkim,West Sikkim,,SH,27.33325,88.213583,Debris,Slide,,242,374,384,99
26524,SKM/NS/78A03/2017/53,Sikkim,West Sikkim,Tadong,SH,27.333333,88.212972,Debris,Slide,,242,374,384,99
26525,SKM/NS/78A03/2017/54,Sikkim,West Sikkim,,SH,27.335,88.206722,Debris,Slide,,251,384,365,103
26526,SKM/ES/78A11/2015/417,Sikkim,East Sikkim,,Changhu_Nathula Road,27.337194,88.621833,Debris,Slide,,264,365,372,106
26527,SKM/NS/78A03/2017/50,Sikkim,West Sikkim,,SH,27.339806,88.227361,Rock,Slide,,228,365,407,115
26528,SKM/ES/78A11/2015/416,Sikkim,East Sikkim,,Changhu_Nathula Road,27.340917,88.628389,Debris,Slide,,251,392,358,102
26529,SKM/ES/78A11/2015/412,Sikkim,East Sikkim,,Changhu_Nathula Road,27.341444,88.626194,Debris,Slide,,259,387,354,104
26530,SKM/NS/78A03/2017/51,Sikkim,West Sikkim,13th Mile,SH,27.342,88.223722,Rock,Slide,,238,369,393,107
26531,SKM/NS/78A03/2017/60,Sikkim,West Sikkim,,SH,27.345028,88.246639,Debris,Slide,,248,370,382,103
26532,SKM/NS/78A03/2017/55,Sikkim,West Sikkim,,SH,27.347278,88.196833,Debris,Slide,,252,382,366,98
26533,SKM/ES/78A11/2015/46,Sikkim,East Sikkim,Sichey,Ranka Road,27.348722,88.600556,Debris,Slide,,265,380,355,105
26534,SKM/SS/78A07/2015/53,Sikkim,South Sikkim,,Chongrang Road,27.351194,88.272417,Rock,Fall,,237,358,405,102
26535,SKM/WS/78A07/2015/381,Sikkim,West Sikkim,,Chongrang Road,27.3515,88.273028,Debris,Slide,,242,367,390,107
26536,SKM/NS/78A15/2017/155,Sikkim,East Sikkim,,SH,27.358583,88.840194,Debris,Slide,,189,454,357,104
26537,SKM/NS/78A15/2017/154,Sikkim,East Sikkim,,SH,27.361583,88.839306,Debris,Slide,,192,447,362,104
26538,SKM/NS/78A15/2017/148,Sikkim,East Sikkim,Yakla,SH,27.364583,88.787333,Debris,Slide,,192,437,372,108
26539,SKM/NS/78A15/2017/153,Sikkim,East Sikkim,Naya Baba Mandir,SH,27.364722,88.834917,Debris,Slide,,161,467,372,103
26540,SKM/ES/78A11/2015/410,Sikkim,East Sikkim,,Changhu_Nathula Road,27.365056,88.655167,Debris,Slide,,262,386,351,102
26541,SKM/SS/78A07/2015/342,Sikkim,South Sikkim,,Lingmo village Road,27.366944,88.449806,Debris,Slide,,256,367,376,105
26542,SKM/NS/78A15/2017/146,Sikkim,East Sikkim,Thengu,SH,27.367111,88.776028,Rock,Slide,,185,435,380,107
26543,SKM/ES/78A11/2015/161,Sikkim,East Sikkim,,,27.368194,88.711167,Rock,Fall,,309,348,343,100
26544,SKM/ES/78A11/2015/398,Sikkim,East Sikkim,,Changhu_Nathula Road,27.368278,88.711278,Debris,Slide,,309,348,343,100
26545,SKM/NS/78A15/2017/149,Sikkim,East Sikkim,,SH,27.368917,88.794611,Debris,Slide,,187,458,355,105
26546,SKM/ES/78A11/2015/405,Sikkim,East Sikkim,,Changhu_Nathula Road,27.369306,88.691583,Debris,Slide,,281,390,328,101
26547,SKM/ES/78A11/2015/160,Sikkim,East Sikkim,,,27.369333,88.714917,Rock,Fall,,277,394,329,109
26548,SKM/SS/78A07/2015/341,Sikkim,South Sikkim,,Lingmo village Road,27.369778,88.456833,Debris,Slide,,275,354,371,107
26549,SKM/ES/78A11/2015/415,Sikkim,East Sikkim,,Changhu_Nathula Road,27.370083,88.67925,Debris,Slide,,253,397,350,101
26550,SKM/ES/78A11/2015/406,Sikkim,East Sikkim,,Changhu_Nathula Road,27.370472,88.686417,Debris,Slide,,278,395,327,101
26551,SKM/ES/78A11/2015/408,Sikkim,East Sikkim,,Changhu_Nathula Road,27.37075,88.679444,Debris,Slide,,259,401,340,101
26552,SKM/ES/78A11/2015/407,Sikkim,East Sikkim,,Changhu_Nathula Road,27.370861,88.683167,Debris,Slide,,272,385,342,101
26553,SKM/ES/78A07/2015/166,Sikkim,East Sikkim,,Namchi-Namthang Road,27.370972,88.710111,Rock,Fall,,268,358,374,101
26554,SKM/ES/78A11/2015/399,Sikkim,East Sikkim,,Changhu_Nathula Road,27.371472,88.709722,Debris,Slide,,268,358,374,101
26555,SKM/ES/78A11/2015/409,Sikkim,East Sikkim,,Changhu_Nathula Road,27.371806,88.677167,Debris,Slide,,267,387,346,101
26556,SKM/ES/78A11/2015/404,Sikkim,East Sikkim,,Changhu_Nathula Road,27.372278,88.688944,Debris,Slide,,304,382,314,100
26557,SKM/ES/78A11/2015/57,Sikkim,East Sikkim,,North Sikkim Highway,27.372333,88.617556,Rock,Fall,,242,419,339,102
26558,SKM/ES/78A11/2015/136,Sikkim,East Sikkim,,Changhu_Nathula Road,27.372806,88.739139,Debris,Slide,,200,459,342,108
26559,SKM/ES/78A11/2015/140,Sikkim,East Sikkim,,Changhu_Nathula Road,27.373083,88.720028,Debris,Slide,,230,424,345,102
26560,SKM/ES/78A11/2015/397,Sikkim,East Sikkim,,Changhu_Nathula Road,27.373472,88.721944,Debris,Slide,,228,429,343,106
26561,SKM/ES/78A11/2015/137,Sikkim,East Sikkim,,Changhu_Nathula Road,27.373472,88.731722,Debris,Slide,,248,417,335,103
26562,SKM/NS/78A11/2015/78,Sikkim,North Sikkim,,Gangtok-Chungthang Road,27.374583,88.542444,Rock,Fall,,276,343,381,97
26563,SKM/NS/78A11/2015/02,Sikkim,North Sikkim,,North Sikkim Highway,27.374583,88.542333,Debris,Slide,,267,360,373,99
26564,SKM/NS/78A15/2017/147,Sikkim,East Sikkim,Thengu,SH,27.37475,88.782889,Rock,Slide,,165,446,388,103
26565,SKM/ES/78A11/2015/138,Sikkim,East Sikkim,,Changhu_Nathula Road,27.375028,88.728278,Debris,Slide,,236,427,337,104
26566,SKM/NS/78A11/2015/79,Sikkim,North Sikkim,,Gangtok-Chungthang Road,27.375139,88.542833,Rock,Fall,,276,343,381,97
26567,SKM/ES/78A11/2015/400,Sikkim,East Sikkim,,Changhu_Nathula Road,27.375139,88.708028,Debris,Slide,,223,436,341,109
26568,SKM/NS/78A11/2015/01,Sikkim,North Sikkim,,North Sikkim Highway,27.375194,88.54275,Rock,Fall,,276,340,385,97
26569,SKM/ES/78A11/2015/58,Sikkim,East Sikkim,,North Sikkim Highway,27.375806,88.625278,Rock,Fall,,276,384,340,99
26570,SKM/ES/78A11/2015/139,Sikkim,East Sikkim,,Changhu_Nathula Road,27.375833,88.726722,Rock,Slide,,227,431,343,106
26571,SKM/NS/78A15/2017/150,Sikkim,East Sikkim,Yakla,SH,27.376222,88.799667,Debris,Slide,,148,470,382,102
26572,SKM/ES/78A11/2015/59,Sikkim,East Sikkim,,North Sikkim Highway,27.376306,88.629583,Rock,Fall,,284,388,328,102
26573,SKM/NS/78A15/2017/144,Sikkim,East Sikkim,Changu,SH,27.376861,88.766167,Debris,Slide,,186,447,367,106
26574,SKM/NS/78A15/2017/145,Sikkim,East Sikkim,Thengu,SH,27.378306,88.770083,Debris,Slide,,185,458,357,104
26575,SKM/ES/78A11/2015/402,Sikkim,East Sikkim,,Changhu_Nathula Road,27.378417,88.697222,Debris,Slide,,285,390,325,104
26576,SKM/NS/78A11/2015/80,Sikkim,North Sikkim,,Gangtok-Chungthang Road,27.378444,88.541667,Rock,Fall,,273,336,392,99
26577,SKM/ES/78A11/2015/60,Sikkim,East Sikkim,,North Sikkim Highway,27.378611,88.631083,Rock,Fall,,275,389,336,102
26578,SKM/ES/78A11/2015/414,Sikkim,East Sikkim,,Changhu_Nathula Road,27.378667,88.699611,Rock,Topple,,286,387,327,102
26579,SKM/WS/78A07/2015/357,Sikkim,West Sikkim,,Dhupidara Road,27.379639,88.315361,Debris,Slide,,252,356,392,100
26580,SKM/ES/78A11/2015/413,Sikkim,East Sikkim,,Changhu_Nathula Road,27.380806,88.726,Debris,Slide,,199,432,369,104
26581,SKM/NS/78A15/2017/152,Sikkim,East Sikkim,,SH,27.380861,88.812361,Debris,Slide,,165,480,355,104
26582,SKM/ES/78A11/2015/61,Sikkim,East Sikkim,,North Sikkim Highway,27.381278,88.632611,Rock,Fall,,266,389,345,100
26583,SKM/ES/78A11/2015/411,Sikkim,East Sikkim,,Changhu_Nathula Road,27.381306,88.690444,Debris,Slide,,211,438,351,106
26584,SKM/ES/78A11/2015/403,Sikkim,East Sikkim,,Changhu_Nathula Road,27.381556,88.691806,Debris,Slide,,211,438,351,106
26585,SKM/ES/78A11/2015/63,Sikkim,East Sikkim,,North Sikkim Highway,27.381917,88.640333,Rock,Fall,,235,412,354,102
26586,SKM/ES/78A11/2015/401,Sikkim,East Sikkim,,Changhu_Nathula Road,27.383361,88.702611,Debris,Slide,,217,440,344,110
26587,SKM/WS/78A07/2015/356,Sikkim,West Sikkim,,Dhupidara Road,27.383611,88.305806,Rock,Topple,,247,404,348,100
26588,SKM/NS/78A15/2017/151,Sikkim,East Sikkim,Sherethang,SH,27.38375,88.808694,Debris,Slide,,160,475,364,104
26589,SKM/ES/78A11/2015/62,Sikkim,East Sikkim,,North Sikkim Highway,27.383806,88.633083,Rock,Fall,,258,399,343,98
26590,SKM/ES/78A11/2015/64,Sikkim,East Sikkim,,North Sikkim Highway,27.384444,88.639611,Rock,Slide,,261,397,342,101
26591,SKM/WS/78A07/2015/355,Sikkim,West Sikkim,,Dhupidara Road,27.389222,88.310972,Rock,Fall,,246,386,369,112
26592,SKM/WS/78A07/2015/354,Sikkim,West Sikkim,,Dhupidara Road,27.393139,88.310139,Debris,Slide,,245,418,337,101
26593,SKM/ES/78A11/2015/65,Sikkim,East Sikkim,,North Sikkim Highway,27.394,88.62525,Rock,Slide,,265,379,356,99
26594,SKM/WS/78A07/2015/353,Sikkim,West Sikkim,,Dhupidara Road,27.395028,88.307389,Rock,Fall,,244,420,336,103
26595,SKM/ES/78A11/2015/66,Sikkim,East Sikkim,,North Sikkim Highway,27.395444,88.623583,Rock,Slide,,265,375,360,97
26596,SKM/NS/78A11/2015/04,Sikkim,North Sikkim,Kabi,North Sikkim Highway,27.3955,88.623556,Debris,Slide,,265,375,360,97
26597,SKM/WS/78A07/2015/352,Sikkim,West Sikkim,,Dhupidara Road,27.3955,88.306889,Debris,Slide,,239,424,336,102
26598,SKM/NS/78A11/2015/82,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.395556,88.517528,Rock,Slide,,284,340,376,105
26599,SKM/ES/78A11/2015/67,Sikkim,East Sikkim,,North Sikkim Highway,27.395639,88.621667,Debris,Slide,,265,375,360,97
26600,SKM/NS/78A11/2015/81,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.397083,88.519167,Debris,Slide,,279,337,384,114
26601,SKM/WS/78A07/2015/375,Sikkim,West Sikkim,,Narkhola Road,27.397389,88.356139,Rock,Fall,,271,333,396,99
26602,SKM/ES/78A11/2015/68,Sikkim,East Sikkim,,North Sikkim Highway,27.398083,88.614583,Debris,Slide,,279,361,360,97
26603,SKM/WS/78A07/2015/377,Sikkim,West Sikkim,,Narkhola Road,27.399806,88.329139,Debris,Slide,,250,382,367,102
26604,SKM/WS/78A07/2015/376,Sikkim,West Sikkim,,Narkhola Road,27.400278,88.356861,Debris,Slide,,267,354,379,102
26605,SKM/NS/78A11/2015/76,Sikkim,North Sikkim,,North Sikkim Highway,27.40825,88.571167,Rock,Slide,,263,351,386,103
26606,SKM/NS/78A11/2015/77,Sikkim,North Sikkim,,North Sikkim Highway,27.409667,88.543722,Rock,Fall,,272,325,404,98
26607,SKM/NOR/78A11/2014/007,Sikkim,North Sikkim,Tanek Rockslide,Tanek (On North-Sikkim High Way),27.4097,88.54371,Rock,Fall,24 June 2014,272,325,404,98
26608,SKM/NS/78A11/2015/09,Sikkim,North Sikkim,,North Sikkim Highway,27.409861,88.543722,Rock,Fall,,272,325,404,98
26609,SKM/NS/78A11/2015/83,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.411306,88.516611,Rock,Slide,,301,338,362,115
26610,SKM/NS/78A11/2015/69,Sikkim,North Sikkim,,North Sikkim Highway,27.412111,88.627083,Debris,Slide,,300,364,337,97
26611,SKM/NS/78A11/2015/03,Sikkim,North Sikkim,Kabi,North Sikkim Highway,27.412111,88.626944,Debris,Slide,,300,364,337,97
26612,SKM/NS/78A11/2015/24,Sikkim,North Sikkim,,North Sikkim Highway,27.417306,88.622361,Debris,Slide,,288,373,339,106
26613,SKM/NS/78A11/2015/71,Sikkim,North Sikkim,,North Sikkim Highway,27.417389,88.621222,Debris,Slide,,290,372,338,102
26614,SKM/NS/78A11/2015/23,Sikkim,North Sikkim,,North Sikkim Highway,27.417444,88.621083,Debris,Slide,,290,372,338,102
26615,SKM/NS/78A11/2015/25,Sikkim,North Sikkim,,North Sikkim Highway,27.417778,88.623389,Rock,Fall,,288,373,339,106
26616,SKM/NS/78A11/2015/26,Sikkim,North Sikkim,,North Sikkim Highway,27.417972,88.623361,Rock,Fall,,288,373,339,106
26617,SKM/NS/78A11/2015/70,Sikkim,North Sikkim,,North Sikkim Highway,27.418,88.623333,Debris,Slide,,288,373,339,106
26618,SKM/NS/78A11/2015/05,Sikkim,North Sikkim,,North Sikkim Highway,27.418472,88.616083,Debris,Slide,,265,360,374,103
26619,SKM/NS/78A11/2015/06,Sikkim,North Sikkim,,North Sikkim Highway,27.418667,88.616778,Debris,Slide,,265,360,374,103
26620,SKM/NS/78A11/2015/84,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.420028,88.515944,Rock,Fall,,300,342,358,104
26621,SKM/NS/78A11/2015/85,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.426,88.514,Debris,Slide,,283,349,369,114
26622,SKM/NS/78A11/2015/74,Sikkim,North Sikkim,,North Sikkim Highway,27.426361,88.583028,Debris,Slide,,269,390,341,98
26623,SKM/NS/78A11/2015/75,Sikkim,North Sikkim,,North Sikkim Highway,27.426361,88.583028,Debris,Slide,,269,390,341,98
26624,SKM/NS/78A11/2015/72,Sikkim,North Sikkim,,North Sikkim Highway,27.429556,88.611667,Debris,Slide,,264,365,371,101
26625,SKM/NS/78A11/2015/86,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.433083,88.514528,Debris,Slide,,305,332,363,109
26626,SKM/NS/78A11/2015/87,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.435944,88.515167,Rock,Slide,,312,333,355,110
26627,SKM/NS/78A11/2015/10,Sikkim,North Sikkim,Sheyam,North Sikkim Highway,27.436556,88.526639,Debris,Slide,,282,381,337,109
26628,SKM/NS/78A11/2015/73,Sikkim,North Sikkim,,North Sikkim Highway,27.437444,88.613972,Debris,Slide,,258,409,333,97
26629,SKM/NS/78A11/2015/07,Sikkim,North Sikkim,Chawang,North Sikkim Highway,27.437889,88.601694,Debris,Slide,,242,442,316,97
26630,SKM/NS/78A11/2015/08,Sikkim,North Sikkim,,North Sikkim Highway,27.437889,88.601694,Debris,Slide,,242,442,316,97
26631,SKM/NS/78A11/2015/11,Sikkim,North Sikkim,,North Sikkim Highway,27.438139,88.527028,Debris,Slide,,252,358,390,104
26632,SKM/NS/78A11/2015/88,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.438389,88.514389,Debris,Slide,,307,333,360,112
26633,SKM/NS/78A11/2015/12,Sikkim,North Sikkim,,North Sikkim Highway,27.438778,88.527444,Debris,Slide,,252,358,390,104
26634,SKM/NS/78A11/2015/89,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.441056,88.513694,Rock,Slide,,306,333,361,107
26635,SKM/NS/78A11/2015/90,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.448306,88.519667,Debris,Slide,,290,337,373,109
26636,SKM/NS/78A11/2015/91,Sikkim,North Sikkim,,Dikchu-Mangshila Road,27.461694,88.523472,Debris,Slide,,273,341,386,109
26637,SKM/NS/78A11/2015/92,Sikkim,North Sikkim,,North Sikkim Highway,27.4795,88.528472,Rock,Slide,,281,347,373,114
26638,SKM/NS/78A11/2015/95,Sikkim,North Sikkim,,North Sikkim Highway,27.480472,88.531194,Rock,Slide,,270,356,374,112
26639,SKM/NS/78A11/2015/96,Sikkim,North Sikkim,,North Sikkim Highway,27.481083,88.530667,Debris,Slide,,291,339,371,111
26640,SKM/NS/78A11/2015/93,Sikkim,North Sikkim,,North Sikkim Highway,27.482583,88.52875,Rock,Slide,,298,332,370,113
26641,SKM/NS/78A11/2015/94,Sikkim,North Sikkim,,North Sikkim Highway,27.482583,88.529528,Debris,Slide,,291,339,371,111
26642,SKM/NOR/78A11/2014/006,Sikkim,North Sikkim,Ambithang Landslide,Ambithang (On Rangrang- Mangan road ),27.48603,88.53269,Debris,Slide,8 July 2014,293,339,368,115
26643,SKM/NS/78A10/2017/166,Sikkim,North Sikkim,Mangan,NH,27.502,88.5375,Debris,Slide,,255,362,383,109
26644,SKM/NOR/78A10/2014/004,Sikkim,North Sikkim,Pakshek Landslide,Pakshek ( Mangan-Chungthang road on North highway),27.5091,88.53848,Rock,Slide,1 July 2014,258,352,390,108
26645,SKM/NS/78A10/2017/169,Sikkim,North Sikkim,Lanthey Khola,NH,27.514972,88.565472,Debris,Slide,,291,365,344,95
26646,SKM/NOR/78A10/2014/005,Sikkim,North Sikkim,Lanthakhola,Lanthakhola (On Mangan to Chungthang road ),27.5152,88.56456,Debris,Slide,"1983, 8 July 2014",294,353,353,96
26647,SKM/NS/78A10/2017/170,Sikkim,North Sikkim,,NH,27.516444,88.587361,Debris,Slide,,293,358,349,95
26648,SKM/NS/78A10/2017/167,Sikkim,North Sikkim,,NH,27.517278,88.539667,Debris,Slide,,283,344,373,101
26649,SKM/NS/78A10/2017/168,Sikkim,North Sikkim,,NH,27.517306,88.542889,Rock,Slide,,265,344,391,100
26650,SKM/NS/78A10/2017/175,Sikkim,North Sikkim,,NH,27.527194,88.603222,Debris,Slide,,251,375,374,99
26651,SKM/NS/78A10/2017/171,Sikkim,North Sikkim,,NH,27.527333,88.590778,Debris,Slide,,263,359,379,96
26652,SKM/NS/78A10/2017/176,Sikkim,North Sikkim,,NH,27.527722,88.607972,Debris,Slide,,243,405,352,99
26653,SKM/NS/78A10/2017/174,Sikkim,North Sikkim,,NH,27.527917,88.60225,Debris,Slide,,251,375,374,99
26654,SKM/NS/78A10/2017/173,Sikkim,North Sikkim,,NH,27.528722,88.600833,Debris,Slide,,255,384,360,98
26655,SKM/NS/78A10/2017/172,Sikkim,North Sikkim,,NH,27.529639,88.598139,Debris,Slide,,259,380,361,96
26656,SKM/NS/78A10/2017/177,Sikkim,North Sikkim,Naga,NH,27.531667,88.606333,Debris,Slide,,251,385,364,98
26657,SKM/NS/78A10/2017/178,Sikkim,North Sikkim,,NH,27.533722,88.609278,Rock,Slide,,263,366,371,105
26658,SKM/NS/78A10/2017/179,Sikkim,North Sikkim,,NH,27.535056,88.610194,Debris,Slide,,269,382,349,103
